Type,Start,End,Duration,Start Conditions,Start Location,End Conditions,Notes,aStart,aEnd,timeToStart,timeToEnd
feed,2021-08-27T03:58Z,2021-08-27T04:32Z,00:34,,breast,00:34L,,2021-08-26T18:58Z,2021-08-26T19:32Z,27.966666666666665,28.533333333333335
sleep,2021-08-27T04:32Z,2021-08-27T05:19Z,,,,,,2021-08-26T19:32Z,2021-08-26T20:19Z,28.533333333333335,29.316666666666666
feed,2021-08-27T05:19Z,2021-08-27T05:30Z,00:10,00:10R,breast,,,2021-08-26T20:19Z,2021-08-26T20:30Z,29.316666666666666,29.5
sleep,2021-08-27T05:30Z,2021-08-27T06:10Z,,,,,,2021-08-26T20:30Z,2021-08-26T21:10Z,29.5,30.166666666666668
feed,2021-08-27T06:10Z,2021-08-27T06:22Z,00:12,00:12R,breast,,,2021-08-26T21:10Z,2021-08-26T21:22Z,30.166666666666668,30.366666666666667
sleep,2021-08-27T06:22Z,2021-08-27T07:14Z,,,,,,2021-08-26T21:22Z,2021-08-26T22:14Z,30.366666666666667,31.233333333333334
feed,2021-08-27T07:14Z,2021-08-27T07:31Z,00:17,00:00R,breast,00:16L,,2021-08-26T22:14Z,2021-08-26T22:31Z,31.233333333333334,31.516666666666666
sleep,2021-08-27T07:31Z,2021-08-27T10:00Z,,,,,,2021-08-26T22:31Z,2021-08-27T01:00Z,31.516666666666666,34
sleep,2021-08-27T19:22Z,2021-08-27T19:43Z,,,,,,2021-08-27T10:22Z,2021-08-27T10:43Z,19.366666666666667,19.716666666666665
feed,2021-08-27T19:43Z,2021-08-27T19:57Z,00:13,00:04R,breast,00:09L,,2021-08-27T10:43Z,2021-08-27T10:57Z,19.716666666666665,19.95
sleep,2021-08-27T19:57Z,2021-08-27T22:19Z,,,,,,2021-08-27T10:57Z,2021-08-27T13:19Z,19.95,22.316666666666666
feed,2021-08-27T22:19Z,2021-08-27T22:39Z,00:19,00:19R,breast,,,2021-08-27T13:19Z,2021-08-27T13:39Z,22.316666666666666,22.65
sleep,2021-08-27T22:39Z,2021-08-28T02:11Z,,,,,,2021-08-27T13:39Z,2021-08-27T17:11Z,22.65,26.183333333333334
feed,2021-08-28T02:11Z,2021-08-28T02:47Z,00:35,00:24R,breast,00:11L,,2021-08-27T17:11Z,2021-08-27T17:47Z,26.183333333333334,26.783333333333335
sleep,2021-08-28T02:47Z,2021-08-28T05:33Z,,,,,,2021-08-27T17:47Z,2021-08-27T20:33Z,26.783333333333335,29.55
feed,2021-08-28T05:33Z,2021-08-28T05:39Z,00:06,,breast,00:06L,,2021-08-27T20:33Z,2021-08-27T20:39Z,29.55,29.65
sleep,2021-08-28T05:39Z,2021-08-28T05:48Z,,,,,,2021-08-27T20:39Z,2021-08-27T20:48Z,29.65,29.8
feed,2021-08-28T05:48Z,2021-08-28T05:59Z,00:10,00:10R,breast,,,2021-08-27T20:48Z,2021-08-27T20:59Z,29.8,29.983333333333334
sleep,2021-08-28T05:59Z,2021-08-28T07:56Z,,,,,,2021-08-27T20:59Z,2021-08-27T22:56Z,29.983333333333334,31.933333333333334
feed,2021-08-28T07:56Z,2021-08-28T08:28Z,00:32,00:10R,breast,00:22L,,2021-08-27T22:56Z,2021-08-27T23:28Z,31.933333333333334,32.46666666666667
sleep,2021-08-28T08:28Z,2021-08-28T09:01Z,,,,,,2021-08-27T23:28Z,2021-08-28T00:01Z,32.46666666666667,33.016666666666666
feed,2021-08-28T20:33Z,2021-08-28T21:14Z,00:40,00:40R,breast,,,2021-08-28T11:33Z,2021-08-28T12:14Z,20.55,21.233333333333334
sleep,2021-08-28T21:14Z,2021-08-28T21:56Z,,,,,,2021-08-28T12:14Z,2021-08-28T12:56Z,21.233333333333334,21.933333333333334
feed,2021-08-28T21:56Z,2021-08-28T22:10Z,00:13,,breast,00:13L,,2021-08-28T12:56Z,2021-08-28T13:10Z,21.933333333333334,22.166666666666668
sleep,2021-08-28T22:10Z,2021-08-28T22:49Z,,,,,,2021-08-28T13:10Z,2021-08-28T13:49Z,22.166666666666668,22.816666666666666
feed,2021-08-28T22:49Z,2021-08-28T22:59Z,00:10,,breast,00:10L,,2021-08-28T13:49Z,2021-08-28T13:59Z,22.816666666666666,22.983333333333334
sleep,2021-08-28T22:59Z,2021-08-29T02:19Z,,,,,,2021-08-28T13:59Z,2021-08-28T17:19Z,22.983333333333334,26.316666666666666
feed,2021-08-29T02:19Z,2021-08-29T02:27Z,00:08,00:08R,breast,,,2021-08-28T17:19Z,2021-08-28T17:27Z,26.316666666666666,26.45
sleep,2021-08-29T02:27Z,2021-08-29T02:39Z,,,,,,2021-08-28T17:27Z,2021-08-28T17:39Z,26.45,26.65
feed,2021-08-29T02:39Z,2021-08-29T02:46Z,00:07,00:03R,breast,00:03L,,2021-08-28T17:39Z,2021-08-28T17:46Z,26.65,26.766666666666666
sleep,2021-08-29T02:46Z,2021-08-29T02:58Z,,,,,,2021-08-28T17:46Z,2021-08-28T17:58Z,26.766666666666666,26.966666666666665
feed,2021-08-29T02:58Z,2021-08-29T03:03Z,00:04,,breast,00:04L,,2021-08-28T17:58Z,2021-08-28T18:03Z,26.966666666666665,27.05
sleep,2021-08-29T03:03Z,2021-08-29T03:37Z,,,,,,2021-08-28T18:03Z,2021-08-28T18:37Z,27.05,27.616666666666667
feed,2021-08-29T03:37Z,2021-08-29T03:50Z,00:13,00:06R,breast,00:06L,,2021-08-28T18:37Z,2021-08-28T18:50Z,27.616666666666667,27.833333333333332
sleep,2021-08-29T03:50Z,2021-08-29T06:20Z,,,,,,2021-08-28T18:50Z,2021-08-28T21:20Z,27.833333333333332,30.333333333333332
feed,2021-08-29T06:20Z,2021-08-29T06:40Z,00:20,,breast,00:20L,,2021-08-28T21:20Z,2021-08-28T21:40Z,30.333333333333332,30.666666666666668
sleep,2021-08-29T06:40Z,2021-08-29T06:45Z,,,,,,2021-08-28T21:40Z,2021-08-28T21:45Z,30.666666666666668,30.75
feed,2021-08-29T06:45Z,2021-08-29T06:50Z,00:04,00:04R,breast,,,2021-08-28T21:45Z,2021-08-28T21:50Z,30.75,30.833333333333332
sleep,2021-08-29T06:50Z,2021-08-29T09:42Z,,,,,,2021-08-28T21:50Z,2021-08-29T00:42Z,30.833333333333332,33.7
feed,2021-08-29T19:46Z,2021-08-29T20:07Z,00:21,00:21R,breast,,,2021-08-29T10:46Z,2021-08-29T11:07Z,19.766666666666666,20.116666666666667
sleep,2021-08-29T20:07Z,2021-08-29T20:25Z,,,,,,2021-08-29T11:07Z,2021-08-29T11:25Z,20.116666666666667,20.416666666666668
feed,2021-08-29T20:25Z,2021-08-29T20:30Z,00:04,,breast,00:04L,,2021-08-29T11:25Z,2021-08-29T11:30Z,20.416666666666668,20.5
sleep,2021-08-29T20:30Z,2021-08-29T20:44Z,,,,,,2021-08-29T11:30Z,2021-08-29T11:44Z,20.5,20.733333333333334
feed,2021-08-29T20:44Z,2021-08-29T20:46Z,00:01,,breast,00:01L,,2021-08-29T11:44Z,2021-08-29T11:46Z,20.733333333333334,20.766666666666666
sleep,2021-08-29T20:46Z,2021-08-29T23:01Z,,,,,,2021-08-29T11:46Z,2021-08-29T14:01Z,20.766666666666666,23.016666666666666
feed,2021-08-29T23:01Z,2021-08-29T23:18Z,00:16,,breast,00:16L,,2021-08-29T14:01Z,2021-08-29T14:18Z,23.016666666666666,23.3
sleep,2021-08-29T23:18Z,2021-08-29T23:23Z,,,,,,2021-08-29T14:18Z,2021-08-29T14:23Z,23.3,23.383333333333333
feed,2021-08-29T23:23Z,2021-08-29T23:30Z,00:07,00:07R,breast,,,2021-08-29T14:23Z,2021-08-29T14:30Z,23.383333333333333,23.5
sleep,2021-08-29T23:30Z,2021-08-29T23:49Z,,,,,,2021-08-29T14:30Z,2021-08-29T14:49Z,23.5,23.816666666666666
feed,2021-08-29T23:49Z,2021-08-29T23:56Z,00:07,00:07R,breast,,,2021-08-29T14:49Z,2021-08-29T14:56Z,23.816666666666666,23.933333333333334
